mode,wind_component,air_speed_uncapped,air_speed_capped,headwind_component,energy,adaptive_energy,no_wind_energy
head_tail,-8.0,3.0,3.0,0.0,73.3915926535898,76.27159265358979,109.3915926535898
crosswind,-8.0,9.433981132056603,9.433981132056603,0.0,253.39159265358973,138.1915926535898,109.3915926535898
head_tail,-7.75,2.75,2.75,0.0,70.1572176535898,73.2959676535898,109.3915926535898
crosswind,-7.75,9.222933372848358,9.222933372848358,0.0,244.53221765358975,136.41971765358977,109.3915926535898
head_tail,-7.5,2.5,2.5,0.0,67.2040926535898,70.5790926535898,109.3915926535898
crosswind,-7.5,9.013878188659973,9.013878188659973,0.0,235.95409265358978,134.70409265358978,109.3915926535898
head_tail,-7.25,2.25,2.25,0.0,64.5322176535898,68.12096765358979,109.3915926535898
crosswind,-7.25,8.806957476904268,8.806957476904268,0.0,227.65721765358973,133.04471765358977,109.3915926535898
head_tail,-7.0,2.0,2.0,0.0,62.1415926535898,65.9215926535898,109.3915926535898
crosswind,-7.0,8.602325267042627,8.602325267042627,0.0,219.64159265358978,131.4415926535898,109.3915926535898
head_tail,-6.75,1.75,1.75,0.0,60.03221765358978,63.98096765358978,109.3915926535898
crosswind,-6.75,8.40014880820572,8.40014880820572,0.0,211.90721765358973,129.8947176535898,109.3915926535898
head_tail,-6.5,1.5,1.5,0.0,58.2040926535898,62.299092653589796,109.3915926535898
crosswind,-6.5,8.200609733428363,8.200609733428363,0.0,204.45409265358984,128.4040926535898,109.3915926535898
head_tail,-6.25,1.25,1.25,0.0,56.6572176535898,60.8759676535898,109.3915926535898
crosswind,-6.25,8.00390529679106,8.00390529679106,0.0,197.28221765358978,126.9697176535898,109.3915926535898
head_tail,-6.0,1.0,1.0,0.0,55.3915926535898,59.7115926535898,109.3915926535898
crosswind,-6.0,7.810249675906654,7.810249675906654,0.0,190.39159265358975,125.59159265358979,109.3915926535898
head_tail,-5.75,0.75,0.75,0.0,54.4072176535898,58.805967653589796,109.3915926535898
crosswind,-5.75,7.6198753270640855,7.6198753270640855,0.0,183.7822176535898,124.2697176535898,109.3915926535898
head_tail,-5.5,0.5,0.5,0.0,53.7040926535898,58.159092653589795,109.3915926535898
crosswind,-5.5,7.433034373659253,7.433034373659253,0.0,177.45409265358978,123.0040926535898,109.3915926535898
head_tail,-5.25,0.25,0.25,0.0,53.2822176535898,57.77096765358979,109.3915926535898
crosswind,-5.25,7.25,7.25,0.0,171.40721765358978,121.7947176535898,109.3915926535898
head_tail,-5.0,0.0,0.0,0.0,53.1415926535898,57.6415926535898,109.3915926535898
crosswind,-5.0,7.0710678118654755,7.0710678118654755,0.0,165.6415926535898,120.6415926535898,109.3915926535898
head_tail,-4.75,0.25,0.25,0.0,53.2822176535898,57.77096765358979,109.3915926535898
crosswind,-4.75,6.896557112066861,6.896557112066861,0.0,160.15721765358978,119.5447176535898,109.3915926535898
head_tail,-4.5,0.5,0.5,0.0,53.7040926535898,58.159092653589795,109.3915926535898
crosswind,-4.5,6.726812023536855,6.726812023536855,0.0,154.95409265358978,118.5040926535898,109.3915926535898
head_tail,-4.25,0.75,0.75,0.0,54.4072176535898,58.805967653589796,109.3915926535898
crosswind,-4.25,6.562202374203344,6.562202374203344,0.0,150.03221765358978,117.5197176535898,109.3915926535898
head_tail,-4.0,1.0,1.0,0.0,55.3915926535898,59.7115926535898,109.3915926535898
crosswind,-4.0,6.4031242374328485,6.4031242374328485,0.0,145.39159265358978,116.5915926535898,109.3915926535898
head_tail,-3.75,1.25,1.25,0.0,56.6572176535898,60.8759676535898,109.3915926535898
crosswind,-3.75,6.25,6.25,0.0,141.03221765358978,115.7197176535898,109.3915926535898
head_tail,-3.5,1.5,1.5,0.0,58.2040926535898,62.299092653589796,109.3915926535898
crosswind,-3.5,6.103277807866851,6.103277807866851,0.0,136.95409265358975,114.90409265358979,109.3915926535898
head_tail,-3.25,1.75,1.75,0.0,60.03221765358978,63.98096765358978,109.3915926535898
crosswind,-3.25,5.963430220938282,5.963430220938282,0.0,133.15721765358978,114.1447176535898,109.3915926535898
head_tail,-3.0,2.0,2.0,0.0,62.1415926535898,65.9215926535898,109.3915926535898
crosswind,-3.0,5.830951894845301,5.830951894845301,0.0,129.6415926535898,113.4415926535898,109.3915926535898
head_tail,-2.75,2.25,2.25,0.0,64.5322176535898,68.12096765358979,109.3915926535898
crosswind,-2.75,5.706356105256663,5.706356105256663,0.0,126.40721765358977,112.79471765358979,109.3915926535898
head_tail,-2.5,2.5,2.5,0.0,67.2040926535898,70.5790926535898,109.3915926535898
crosswind,-2.5,5.5901699437494745,5.5901699437494745,0.0,123.4540926535898,112.2040926535898,109.3915926535898
head_tail,-2.25,2.75,2.75,0.0,70.1572176535898,73.2959676535898,109.3915926535898
crosswind,-2.25,5.482928049865327,5.482928049865327,0.0,120.78221765358978,111.6697176535898,109.3915926535898
head_tail,-2.0,3.0,3.0,0.0,73.3915926535898,76.27159265358979,109.3915926535898
crosswind,-2.0,5.385164807134504,5.385164807134504,0.0,118.39159265358978,111.1915926535898,109.3915926535898
head_tail,-1.75,3.25,3.25,0.0,76.9072176535898,79.50596765358979,109.3915926535898
crosswind,-1.75,5.297405025104273,5.297405025104273,0.0,116.2822176535898,110.7697176535898,109.3915926535898
head_tail,-1.5,3.5,3.5,0.0,80.7040926535898,82.9990926535898,109.3915926535898
crosswind,-1.5,5.220153254455275,5.220153254455275,0.0,114.45409265358981,110.4040926535898,109.3915926535898
head_tail,-1.25,3.75,3.75,0.0,84.7822176535898,86.7509676535898,109.3915926535898
crosswind,-1.25,5.153882032022076,5.153882032022076,0.0,112.9072176535898,110.0947176535898,109.3915926535898
head_tail,-1.0,4.0,4.0,0.0,89.1415926535898,90.76159265358979,109.3915926535898
crosswind,-1.0,5.0990195135927845,5.0990195135927845,0.0,111.6415926535898,109.8415926535898,109.3915926535898
head_tail,-0.75,4.25,4.25,0.0,93.7822176535898,95.0309676535898,109.3915926535898
crosswind,-0.75,5.055937104039171,5.055937104039171,0.0,110.6572176535898,109.6447176535898,109.3915926535898
head_tail,-0.5,4.5,4.5,0.0,98.7040926535898,99.5590926535898,109.3915926535898
crosswind,-0.5,5.024937810560445,5.024937810560445,0.0,109.9540926535898,109.5040926535898,109.3915926535898
head_tail,-0.25,4.75,4.75,0.0,103.90721765358981,104.34596765358981,109.3915926535898
crosswind,-0.25,5.006246098625197,5.006246098625197,0.0,109.5322176535898,109.4197176535898,109.3915926535898
head_tail,0.0,5.0,5.0,0.0,109.3915926535898,109.3915926535898,109.3915926535898
crosswind,0.0,5.0,5.0,0.0,109.3915926535898,109.3915926535898,109.3915926535898
head_tail,0.25,5.25,5.25,0.25,115.3759676535898,110.5884676535898,109.3915926535898
crosswind,0.25,5.006246098625197,5.006246098625197,0.0,109.5322176535898,109.4197176535898,109.3915926535898
head_tail,0.5,5.5,5.5,0.5,122.0790926535898,111.92909265358979,109.3915926535898
crosswind,0.5,5.024937810560445,5.024937810560445,0.0,109.9540926535898,109.5040926535898,109.3915926535898
head_tail,0.75,5.75,5.75,0.75,129.50096765358978,113.41346765358979,109.3915926535898
crosswind,0.75,5.055937104039171,5.055937104039171,0.0,110.6572176535898,109.6447176535898,109.3915926535898
head_tail,1.0,6.0,6.0,1.0,137.64159265358978,115.04159265358979,109.3915926535898
crosswind,1.0,5.0990195135927845,5.0990195135927845,0.0,111.6415926535898,109.8415926535898,109.3915926535898
head_tail,1.25,6.25,6.25,1.25,146.50096765358978,116.8134676535898,109.3915926535898
crosswind,1.25,5.153882032022076,5.153882032022076,0.0,112.9072176535898,110.0947176535898,109.3915926535898
head_tail,1.5,6.5,6.5,1.5,156.0790926535898,118.7290926535898,109.3915926535898
crosswind,1.5,5.220153254455275,5.220153254455275,0.0,114.45409265358981,110.4040926535898,109.3915926535898
head_tail,1.75,6.75,6.75,1.75,166.37596765358978,120.78846765358979,109.3915926535898
crosswind,1.75,5.297405025104273,5.297405025104273,0.0,116.2822176535898,110.7697176535898,109.3915926535898
head_tail,2.0,7.0,7.0,2.0,177.3915926535898,122.9915926535898,109.3915926535898
crosswind,2.0,5.385164807134504,5.385164807134504,0.0,118.39159265358978,111.1915926535898,109.3915926535898
head_tail,2.25,7.25,7.25,2.25,189.12596765358978,125.33846765358979,109.3915926535898
crosswind,2.25,5.482928049865327,5.482928049865327,0.0,120.78221765358978,111.6697176535898,109.3915926535898
head_tail,2.5,7.5,7.5,2.5,201.57909265358978,127.8290926535898,109.3915926535898
crosswind,2.5,5.5901699437494745,5.5901699437494745,0.0,123.4540926535898,112.2040926535898,109.3915926535898
head_tail,2.75,7.75,7.75,2.75,214.75096765358978,130.4634676535898,109.3915926535898
crosswind,2.75,5.706356105256663,5.706356105256663,0.0,126.40721765358977,112.79471765358979,109.3915926535898
head_tail,3.0,8.0,8.0,3.0,228.64159265358978,133.2415926535898,109.3915926535898
crosswind,3.0,5.830951894845301,5.830951894845301,0.0,129.6415926535898,113.4415926535898,109.3915926535898
head_tail,3.25,8.25,8.25,3.25,243.25096765358975,136.16346765358978,109.3915926535898
crosswind,3.25,5.963430220938282,5.963430220938282,0.0,133.15721765358978,114.1447176535898,109.3915926535898
head_tail,3.5,8.5,8.5,3.5,258.5790926535898,139.2290926535898,109.3915926535898
crosswind,3.5,6.103277807866851,6.103277807866851,0.0,136.95409265358975,114.90409265358979,109.3915926535898
head_tail,3.75,8.75,8.75,3.75,274.6259676535898,142.43846765358978,109.3915926535898
crosswind,3.75,6.25,6.25,0.0,141.03221765358978,115.7197176535898,109.3915926535898
head_tail,4.0,9.0,9.0,4.0,291.3915926535898,145.7915926535898,109.3915926535898
crosswind,4.0,6.4031242374328485,6.4031242374328485,0.0,145.39159265358978,116.5915926535898,109.3915926535898
head_tail,4.25,9.25,9.25,4.25,308.8759676535898,149.2884676535898,109.3915926535898
crosswind,4.25,6.562202374203344,6.562202374203344,0.0,150.03221765358978,117.5197176535898,109.3915926535898
head_tail,4.5,9.5,9.5,4.5,327.07909265358984,152.9290926535898,109.3915926535898
crosswind,4.5,6.726812023536855,6.726812023536855,0.0,154.95409265358978,118.5040926535898,109.3915926535898
head_tail,4.75,9.75,9.75,4.75,346.0009676535898,156.71346765358982,109.3915926535898
crosswind,4.75,6.896557112066861,6.896557112066861,0.0,160.15721765358978,119.5447176535898,109.3915926535898
head_tail,5.0,10.0,10.0,5.0,365.6415926535898,160.64159265358978,109.3915926535898
crosswind,5.0,7.0710678118654755,7.0710678118654755,0.0,165.6415926535898,120.6415926535898,109.3915926535898
head_tail,5.25,10.25,10.25,5.25,386.0009676535898,164.71346765358982,109.3915926535898
crosswind,5.25,7.25,7.25,0.0,171.40721765358978,121.7947176535898,109.3915926535898
head_tail,5.5,10.5,10.5,5.5,407.0790926535898,168.9290926535898,109.3915926535898
crosswind,5.5,7.433034373659253,7.433034373659253,0.0,177.45409265358978,123.0040926535898,109.3915926535898
head_tail,5.75,10.75,10.75,5.75,428.87596765358984,173.2884676535898,109.3915926535898
crosswind,5.75,7.6198753270640855,7.6198753270640855,0.0,183.7822176535898,124.2697176535898,109.3915926535898
head_tail,6.0,11.0,11.0,6.0,451.3915926535898,177.79159265358982,109.3915926535898
crosswind,6.0,7.810249675906654,7.810249675906654,0.0,190.39159265358975,125.59159265358979,109.3915926535898
head_tail,6.25,11.25,11.25,6.25,474.6259676535898,182.43846765358978,109.3915926535898
crosswind,6.25,8.00390529679106,8.00390529679106,0.0,197.28221765358978,126.9697176535898,109.3915926535898
head_tail,6.5,11.5,11.5,6.5,498.57909265358984,187.22909265358982,109.3915926535898
crosswind,6.5,8.200609733428363,8.200609733428363,0.0,204.45409265358984,128.4040926535898,109.3915926535898
head_tail,6.75,11.75,11.75,6.75,523.2509676535898,192.1634676535898,109.3915926535898
crosswind,6.75,8.40014880820572,8.40014880820572,0.0,211.90721765358973,129.8947176535898,109.3915926535898
head_tail,7.0,12.0,12.0,7.0,548.6415926535898,197.2415926535898,109.3915926535898
crosswind,7.0,8.602325267042627,8.602325267042627,0.0,219.64159265358978,131.4415926535898,109.3915926535898
head_tail,7.25,12.25,12.0,7.25,561.1103426535898,199.73534265358978,109.3915926535898
crosswind,7.25,8.806957476904268,8.806957476904268,0.0,227.65721765358973,133.04471765358977,109.3915926535898
head_tail,7.5,12.5,12.0,7.5,574.0165926535898,202.3165926535898,109.3915926535898
crosswind,7.5,9.013878188659973,9.013878188659973,0.0,235.95409265358978,134.70409265358978,109.3915926535898
head_tail,7.75,12.75,12.0,7.75,587.3603426535898,204.98534265358978,109.3915926535898
crosswind,7.75,9.222933372848358,9.222933372848358,0.0,244.53221765358975,136.41971765358977,109.3915926535898
head_tail,8.0,13.0,12.0,8.0,601.1415926535898,207.7415926535898,109.3915926535898
crosswind,8.0,9.433981132056603,9.433981132056603,0.0,253.39159265358973,138.1915926535898,109.3915926535898
